name	width(X)	height(Y)	depth(Z)	pivot_offset_Y
SM_W_Foundation_1	2.042	0.000	2.042	0.000
SM_W_Foundation_2	0.102	0.510	1.071	0.000
SM_W_Foundation_3	0.989	0.510	0.457	0.000
SM_W_Foundation_4	0.389	0.346	2.363	0.000
SM_P_Wood_1	0.482	4.979	0.482	0.000
SM_P_Wood_2	0.371	3.853	0.371	0.000
SM_P_Wood_3	0.320	2.976	0.320	0.000
SM_P_Wood_4	0.482	4.979	0.482	0.000
SM_W_Wood_1	0.172	4.689	3.292	0.000
SM_W_Wood_2	0.110	1.634	2.723	0.000
SM_W_Stone_1	0.283	2.064	1.970	0.000
SM_W_White	0.154	1.395	2.687	0.000
SM_W_Pink01	0.157	0.358	2.695	0.000
SM_F_Wood_1	1.685	0.223	3.068	0.223
SM_F_Wood_2	1.685	0.222	3.068	0.222
SM_F_Wood_3	0.939	0.222	3.068	0.222
SM_F_Wood_4	1.685	0.222	3.068	0.222
SM_R_Beam_34	3.308	0.595	0.257	0.223
SM_R_Dancheong_1	0.248	0.735	2.224	0.000
SM_R_Dancheong_2	0.248	0.735	3.121	0.000
SM_R_DancheongSupport_1	0.143	0.923	1.142	0.000
SM_R_DancheongCorner_1	1.684	1.353	1.658	0.395
SM_D_Wood_1	0.128	1.904	0.695	0.000
SM_D_Wood_2	0.125	2.373	0.817	0.000
SM_D_Wood_3	0.125	2.373	0.685	0.000
SM_D_Wood_4	0.121	2.376	0.699	0.000
SM_D_Wood_5_1	[NOT FOUND]
SM_D_Wood_6	0.240	2.237	0.785	0.000
SM_Roof_1	3.362	2.176	2.221	0.135
SM_Roof_10	6.529	4.874	2.679	0.165
SM_Roof_20	5.593	5.195	4.530	0.000
SM_Roof_30	2.991	2.050	2.094	0.195
SM_Roof_40	3.362	2.176	0.530	0.414
SM_Roof_48	2.179	1.994	3.303	0.000
