wr_id	title	category	source_filename	extracted_member	asset_key	local_path	size_bytes	detail_url	file_url
1	무예24기-장창	무기류	Jangchang.zip		SM_CM_Object_001	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_001/SM_CM_Object_001.fbx	9380928	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=1	https://www.culture.go.kr/datametaverse/data/file/object/Jangchang.zip
2	무예24기-기창	무기류	Gichang.zip		SM_CM_Object_002	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_002/SM_CM_Object_002.fbx	11655728	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=2	https://www.culture.go.kr/datametaverse/data/file/object/Gichang.zip
3	무예24기-당파	무기류	Dangpa.zip		SM_CM_Object_003	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_003/SM_CM_Object_003.fbx	5738640	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=3	https://www.culture.go.kr/datametaverse/data/file/object/Dangpa.zip
4	무예24기-낭선	무기류	Nangseon.zip		SM_CM_Object_004	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_004/SM_CM_Object_004.fbx	12009632	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=4	https://www.culture.go.kr/datametaverse/data/file/object/Nangseon.zip
5	무예24기-쌍수도	무기류	Ssangsudo.zip		SM_CM_Object_005	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_005/SM_CM_Object_005.fbx	8149136	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=5	https://www.culture.go.kr/datametaverse/data/file/object/Ssangsudo.zip
6	무예24기-쌍검	무기류	Ssanggeom.zip		SM_CM_Object_006	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_006/SM_CM_Object_006.fbx	25305472	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=6	https://www.culture.go.kr/datametaverse/data/file/object/Ssanggeom.zip
7	무예24기-월도	무기류	Woldo.zip		SM_CM_Object_007	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_007/SM_CM_Object_007.fbx	7389584	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=7	https://www.culture.go.kr/datametaverse/data/file/object/Woldo.zip
8	무예24기-협도	무기류	Hyeopdo.zip		SM_CM_Object_008	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_008/SM_CM_Object_008.fbx	13323120	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=8	https://www.culture.go.kr/datametaverse/data/file/object/Hyeopdo.zip
9	무예24기-등패	무기류	Deungpae.zip		SM_CM_Object_009	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_009/SM_CM_Object_009.fbx	12196592	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=9	https://www.culture.go.kr/datametaverse/data/file/object/Deungpae.zip
10	무예24기-곤방	무기류	Gonbang.zip		SM_CM_Object_010	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_010/SM_CM_Object_010.fbx	3562720	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=10	https://www.culture.go.kr/datametaverse/data/file/object/Gonbang.zip
11	무예24기-환도	무기류	Hwando.zip		SM_CM_Object_011	Assets/HanokBuilder/Resources/HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_011/SM_CM_Object_011.fbx	11530448	https://www.culture.go.kr/datametaverse/bbs/board.php?bo_table=object&wr_id=11	https://www.culture.go.kr/datametaverse/data/file/object/Hwando.zip
