# category	resource_path	broad_tags	display_name
characters	HanokAssets/CultureMetaverse/Characters/MerchantMale/SM_Merchant_Male	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	상인 남자
characters	HanokAssets/CultureMetaverse/Characters/MerchantFemale/SM_Merchant_FeMale	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	상인 여자
characters	HanokAssets/CultureMetaverse/Characters/KoreanCharacter01/DH_Man_01	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	한국적 캐릭터 01
characters	HanokAssets/CultureMetaverse/Characters/KoreanCharacter02/DH_Man_02	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	한국적 캐릭터 02
characters	HanokAssets/CultureMetaverse/Characters/KoreanCharacter03/DH_Man_03	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	한국적 캐릭터 03
characters	HanokAssets/CultureMetaverse/Characters/KoreanCharacter04/DH_Man_04	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	한국적 캐릭터 04
characters	HanokAssets/CultureMetaverse/Characters/KoreanCharacter05/DH_Woman_01	문화포털 디지털휴먼 한국적 캐릭터 상인 인물	한국적 캐릭터 05
festival	HanokAssets/CultureMetaverse/Props/KoreanTraditionalFestival/Prefabs/SM_Pestle	문화포털 김포통진두레놀이 전통축제 농경 소품	SM_Pestle
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_192/SM_CM_Object_192	문화포털 공간소품 육군박물관 무기 39종 띠돈 SM_CM_Object_192	띠돈
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_186/SM_CM_Object_186	문화포털 공간소품 육군박물관 무기 39종 목각제화약통 SM_CM_Object_186	목각제화약통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_180/SM_CM_Object_180	문화포털 공간소품 육군박물관 무기 39종 별승자총통 SM_CM_Object_180	별승자총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_184/SM_CM_Object_184	문화포털 공간소품 육군박물관 무기 39종 불랑기자포 SM_CM_Object_184	불랑기자포
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_178/SM_CM_Object_178	문화포털 공간소품 육군박물관 무기 39종 사전총통 SM_CM_Object_178	사전총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_181/SM_CM_Object_181	문화포털 공간소품 육군박물관 무기 39종 삼원삼안총 SM_CM_Object_181	삼원삼안총
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_176/SM_CM_Object_176	문화포털 공간소품 육군박물관 무기 39종 삼총통 SM_CM_Object_176	삼총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_172/SM_CM_Object_172	문화포털 공간소품 육군박물관 무기 39종 세총통 SM_CM_Object_172	세총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_173/SM_CM_Object_173	문화포털 공간소품 육군박물관 무기 39종 소승자총통 1 SM_CM_Object_173	소승자총통 1
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_174/SM_CM_Object_174	문화포털 공간소품 육군박물관 무기 39종 소승자총통 2 SM_CM_Object_174	소승자총통 2
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_200/SM_CM_Object_200	문화포털 공간소품 육군박물관 무기 39종 숫깍지 SM_CM_Object_200	숫깍지
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_175/SM_CM_Object_175	문화포털 공간소품 육군박물관 무기 39종 승자총통 SM_CM_Object_175	승자총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_170/SM_CM_Object_170	문화포털 공간소품 육군박물관 무기 39종 신제총통 1 SM_CM_Object_170	신제총통 1
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_171/SM_CM_Object_171	문화포털 공간소품 육군박물관 무기 39종 신제총통 2 SM_CM_Object_171	신제총통 2
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_179/SM_CM_Object_179	문화포털 공간소품 육군박물관 무기 39종 쌍승자총통 SM_CM_Object_179	쌍승자총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_183/SM_CM_Object_183	문화포털 공간소품 육군박물관 무기 39종 쌍열식권총 SM_CM_Object_183	쌍열식권총
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_208/SM_CM_Object_208	문화포털 공간소품 육군박물관 무기 39종 어마요령 SM_CM_Object_208	어마요령
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_199/SM_CM_Object_199	문화포털 공간소품 육군박물관 무기 39종 오각재촉돌이 SM_CM_Object_199	오각재촉돌이
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_201/SM_CM_Object_201	문화포털 공간소품 육군박물관 무기 39종 은도금 용여의주 등자 1 SM_CM_Object_201	은도금 용여의주 등자 1
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_202/SM_CM_Object_202	문화포털 공간소품 육군박물관 무기 39종 은도금 용여의주 등자 2 SM_CM_Object_202	은도금 용여의주 등자 2
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_194/SM_CM_Object_194	문화포털 공간소품 육군박물관 무기 39종 전통 SM_CM_Object_194	전통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_193/SM_CM_Object_193	문화포털 공간소품 육군박물관 무기 39종 전통,용두형전통(용머리모양) SM_CM_Object_193	전통,용두형전통(용머리모양)
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_187/SM_CM_Object_187	문화포털 공간소품 육군박물관 무기 39종 조총탄대(오구) SM_CM_Object_187	조총탄대(오구)
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_191/SM_CM_Object_191	문화포털 공간소품 육군박물관 무기 39종 차폭 SM_CM_Object_191	차폭
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_203/SM_CM_Object_203	문화포털 공간소품 육군박물관 무기 39종 철제 용두 은도금 등자 1 SM_CM_Object_203	철제 용두 은도금 등자 1
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_204/SM_CM_Object_204	문화포털 공간소품 육군박물관 무기 39종 철제 용두 은도금 등자 2 SM_CM_Object_204	철제 용두 은도금 등자 2
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_205/SM_CM_Object_205	문화포털 공간소품 육군박물관 무기 39종 철제 용두 은도금 등자 3 SM_CM_Object_205	철제 용두 은도금 등자 3
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_206/SM_CM_Object_206	문화포털 공간소품 육군박물관 무기 39종 철제 용두 은도금 등자 4 SM_CM_Object_206	철제 용두 은도금 등자 4
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_207/SM_CM_Object_207	문화포털 공간소품 육군박물관 무기 39종 청자마상배 SM_CM_Object_207	청자마상배
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_198/SM_CM_Object_198	문화포털 공간소품 육군박물관 무기 39종 촉돌이 SM_CM_Object_198	촉돌이
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_190/SM_CM_Object_190	문화포털 공간소품 육군박물관 무기 39종 편곤 SM_CM_Object_190	편곤
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_182/SM_CM_Object_182	문화포털 공간소품 육군박물관 무기 39종 현자총통 SM_CM_Object_182	현자총통
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_196/SM_CM_Object_196	문화포털 공간소품 육군박물관 무기 39종 호미각궁 1 SM_CM_Object_196	호미각궁 1
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_197/SM_CM_Object_197	문화포털 공간소품 육군박물관 무기 39종 호미각궁 2 SM_CM_Object_197	호미각궁 2
object_army_weapon	HanokAssets/CultureMetaverse/Props/ObjectDirectFBX/SM_CM_Object_188/SM_CM_Object_188	문화포털 공간소품 육군박물관 무기 39종 호신검(대원군진장명 호신도) 1 SM_CM_Object_188	호신검(대원군진장명 호신도) 1
